Number,ID,Complexity,Type,Instruction,Referents,,object_name,x,y,z,Referents_Original,Referents_Cleaned,Referents_AnchorMapped,Referents_Changed,Referents_Unparsed
195,Basic-195,basic,direct,Request that fellow to push that chair near there.,"Chair1, Door1, Person2",,,,,,"Chair1, Door1, Person2","Chair1, Door1, Person2","chair1, door1, person2",false,
196,Basic-196,basic,indirect,Tell that colleague to slide that chair close to the door.,"Chair6, Door1, Person3",,,,,,"Chair6, Door1, Person3","Chair6, Door1, Person3","chair6, door1, person3",false,
197,Basic-197,basic,direct,Slide that file close to the desk.,"File3, Desk1",,,,,,"File3, Desk1","File3, Desk1","file3, desk1",false,
198,Basic-198,basic,direct,Place that file close to the desk.,"File5, Desk2",,,,,,"File5, Desk2","File5, Desk2","file5, desk2",false,
199,Basic-199,basic,direct,Carry that file close to there.,"File5, PointB",,,,,,"File5, PointB","File5, PointB","file5, pointB",false,
200,Basic-200,basic,direct,Secure that laptop.,Laptop2,,,,,,Laptop2,Laptop2,laptop2,false,
201,Basic-201,basic,indirect,Request the person by the desk to place that file to there.,"File5, PointC, Person2",,,,,,"File5, PointC, Person2","File5, PointC, Person2","file5, pointC, person2",false,
202,Basic-202,basic,indirect,Request the person to move that chair near the desk.,"Chair8, Desk8, Person1",,,,,,"Chair8, Desk8, Person1","Chair8, Desk8, Person1","chair8, desk8, person1",false,
203,Basic-203,basic,direct,Arrange that lamp.,Lamp1,,,,,,Lamp1,Lamp1,lamp1,false,
204,Basic-204,basic,direct,Reposition that chair over there.,"Chair8, Desk4",,,,,,"Chair8, Desk4","Chair8, Desk4","chair8, desk4",false,
205,Basic-205,basic,direct,Instruct that big man to slide that chair next to the desk.,"Chair6, Desk7, Person1",,,,,,"Chair6, Desk7, Person1","Chair6, Desk7, Person1","chair6, desk7, person1",false,
206,Basic-206,basic,direct,Request the person by the door to verify that computer for display issues.,"PC6, Person3",,,,,,"PC6, Person3","PC6, Person3","PC6, person3",false,
207,Basic-207,basic,indirect,Tell this colleague to reposition that file near there.,"File2, PointC, Person1",,,,,,"File2, PointC, Person1","File2, PointC, Person1","file2, pointC, person1",false,
208,Basic-208,basic,indirect,Request this colleague to inspect that desk for clutter.,"Desk3, Person1",,,,,,"Desk3, Person1","Desk3, Person1","desk3, person1",false,
209,Basic-209,basic,direct,Verify that desk for clutter.,Desk3,,,,,,Desk3,Desk3,desk3,false,
210,Basic-210,basic,direct,Arrange that file.,File1,,,,,,File1,File1,file1,false,
211,Basic-211,basic,direct,Move that laptop close to the desk.,"Laptop1, Desk6",,,,,,"Laptop1, Desk6","Laptop1, Desk6","laptop1, desk6",false,
212,Basic-212,basic,direct,Verify that desk for clutter.,Desk4,,,,,,Desk4,Desk4,desk4,false,
213,Basic-213,basic,direct,Arrange that file slightly.,File2,,,,,,File2,File2,file2,false,
214,Basic-214,basic,indirect,Ask that colleague to inspect that computer for display issues.,"PC5, Person2",,,,,,"PC5, Person2","PC5, Person2","PC5, person2",false,
215,Basic-215,basic,indirect,Request that fellow to check that desk for clutter.,"Desk2, Person3",,,,,,"Desk2, Person3","Desk2, Person3","desk2, person3",false,
216,Basic-216,basic,direct,Tell that colleague to push that chair over there.,"Chair8, Desk8, Person1",,,,,,"Chair8, Desk8, Person1","Chair8, Desk8, Person1","chair8, desk8, person1",false,
217,Basic-217,basic,direct,Push that file near the desk.,"File3, Desk8",,,,,,"File3, Desk8","File3, Desk8","file3, desk8",false,
218,Basic-218,basic,indirect,Request the assistant nearby to reposition that file over there.,"File4, PointA, Person1",,,,,,"File4, PointA, Person1","File4, PointA, Person1","file4, pointA, person1",false,
219,Basic-219,basic,direct,Tidy that laptop gently.,Laptop2,,,,,,Laptop2,Laptop2,laptop2,false,
220,Basic-220,basic,direct,Move that chair close to the edge.,"Chair1, PointC",,,,,,"Chair1, PointC","Chair1, PointC","chair1, pointC",false,
221,Basic-221,basic,indirect,Ask that fellow to tidy that lamp.,"Lamp1, Person2",,,,,,"Lamp1, Person2","Lamp1, Person2","lamp1, person2",false,
222,Basic-222,basic,indirect,Request this colleague to check that laptop for battery level.,"Laptop1, Person1",,,,,,"Laptop1, Person1","Laptop1, Person1","laptop1, person1",false,
223,Basic-223,basic,direct,Arrange that chair.,Chair3,,,,,,Chair3,Chair3,chair3,false,
224,Basic-224,basic,direct,Inspect that laptop for battery level.,Laptop2,,,,,,Laptop2,Laptop2,laptop2,false,
225,Basic-225,basic,indirect,Ask that fellow to push that chair near the desk.,"Chair6, Desk6, Person3",,,,,,"Chair6, Desk6, Person3","Chair6, Desk6, Person3","chair6, desk6, person3",false,
226,Basic-226,basic,indirect,Instruct the person by the desk to confirm that desk for clutter.,"Desk3, Person2",,,,,,"Desk3, Person2","Desk3, Person2","desk3, person2",false,
227,Basic-227,basic,direct,Instruct the assistant nearby to carry that chair near there.,"Chair3, Desk7, Person1",,,,,,"Chair3, Desk7, Person1","Chair3, Desk7, Person1","chair3, desk7, person1",false,
228,Basic-228,basic,direct,Reposition that laptop toward there.,"Laptop1, Desk2",,,,,,"Laptop1, Desk2","Laptop1, Desk2","laptop1, desk2",false,
229,Basic-229,basic,indirect,Request the assistant nearby to secure that file.,"File4, Person1",,,,,,"File4, Person1","File4, Person1","file4, person1",false,
230,Basic-230,basic,direct,Request that fellow to push that chair to there.,"Chair7, PointC, Person3",,,,,,"Chair7, PointC, Person3","Chair7, PointC, Person3","chair7, pointC, person3",false,
231,Basic-231,basic,direct,Carry that chair in front of the desk.,"Chair3, Desk8",,,,,,"Chair3, Desk8","Chair3, Desk8","chair3, desk8",false,
232,Basic-232,basic,direct,Move that laptop near there.,"Laptop1, Desk5",,,,,,"Laptop1, Desk5","Laptop1, Desk5","laptop1, desk5",false,
233,Basic-233,basic,direct,Push that chair near the desk.,"Chair8, Desk5",,,,,,"Chair8, Desk5","Chair8, Desk5","chair8, desk5",false,
234,Basic-234,basic,direct,Secure that laptop.,Laptop2,,,,,,Laptop2,Laptop2,laptop2,false,
235,Basic-235,basic,indirect,Instruct that fellow to confirm that computer for display issues.,"PC3, Person1",,,,,,"PC3, Person1","PC3, Person1","PC3, person1",false,
236,Basic-236,basic,direct,Tell that fellow to verify that laptop for battery level.,"Laptop1, Person2",,,,,,"Laptop1, Person2","Laptop1, Person2","laptop1, person2",false,
237,Basic-237,basic,indirect,Request the person by the desk to review that computer for display issues.,"PC6, Person2",,,,,,"PC6, Person2","PC6, Person2","PC6, person2",false,
238,Basic-238,basic,direct,Secure that laptop.,Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
239,Basic-239,basic,direct,Adjust that laptop.,Laptop2,,,,,,Laptop2,Laptop2,laptop2,false,
240,Basic-240,basic,indirect,Ask that fellow to check that computer for display issues.,"PC3, Person3",,,,,,"PC3, Person3","PC3, Person3","PC3, person3",false,
241,Basic-241,basic,direct,Arrange that door carefully.,Door1,,,,,,Door1,Door1,door1,false,
242,Basic-242,basic,indirect,Instruct that colleague to reposition that file in front of the printer.,"File4, Printer1, Person2",,,,,,"File4, Printer1, Person2","File4, Printer1, Person2","file4, printer, person2",false,
243,Basic-243,basic,direct,Review that computer for display issues.,PC6,,,,,,PC6,PC6,PC6,false,
244,Basic-244,basic,indirect,Instruct this colleague to push that chair near the door.,"Chair5, Door1, Person1",,,,,,"Chair5, Door1, Person1","Chair5, Door1, Person1","chair5, door1, person1",false,
245,Basic-245,basic,direct,Carry that laptop next to the desk.,"Laptop2, Desk4",,,,,,"Laptop2, Desk4","Laptop2, Desk4","laptop2, desk4",false,
246,Basic-246,basic,direct,Tell this colleague to carry that laptop near there.,"Laptop1, Desk7, Person2",,,,,,"Laptop1, Desk7, Person2","Laptop1, Desk7, Person2","laptop1, desk7, person2",false,
247,Basic-247,basic,direct,Check that computer for display issues.,PC4,,,,,,PC4,PC4,PC4,false,
248,Basic-248,basic,direct,Push that chair to there.,"Chair4, PointA",,,,,,"Chair4, PointA","Chair4, PointA","chair4, pointA",false,
249,Basic-249,basic,indirect,Request the person by the door place that chair toward there.,"Chair3, Desk5, Person3",,,,,,"Chair3, Desk5, Person3","Chair3, Desk5, Person3","chair3, desk5, person3",false,
250,Basic-250,basic,direct,Reposition that file close to the spot.,"File2, PointA",,,,,,"File2, PointA","File2, PointA","file2, pointA",false,
251,Basic-251,basic,indirect,Request that colleague to carry that chair to the desk.,"Chair6, Desk2, Person2",,,,,,"Chair6, Desk2, Person2","Chair6, Desk2, Person2","chair6, desk2, person2",false,
252,Basic-252,basic,direct,Instruct that fellow to adjust that lamp.,"Lamp3, Person1",,,,,,"Lamp3, Person1","Lamp3, Person1","lamp3, person1",false,
253,Basic-253,basic,direct,Move that chair close to the desk.,"Chair7, Desk8",,,,,,"Chair7, Desk8","Chair7, Desk8","chair7, desk8",false,
254,Basic-254,basic,direct,Reposition that laptop over there.,"Laptop2, PointA",,,,,,"Laptop2, PointA","Laptop2, PointA","laptop2, pointA",false,
255,Basic-255,basic,direct,Ask this colleague to verify that desk for clutter.,"Desk1, Person1",,,,,,"Desk1, Person1","Desk1, Person1","desk1, person1",false,
256,Basic-256,basic,direct,Tidy that door.,Door1,,,,,,Door1,Door1,door1,false,
257,Basic-257,basic,direct,Place that chair to here.,"Chair8, PointC",,,,,,"Chair8, PointC","Chair8, PointC","chair8, pointC",false,
258,Basic-258,basic,indirect,Request the person by the door to carry that chair toward there.,"Chair3, Desk5, Person3",,,,,,"Chair3, Desk5, Person3","Chair3, Desk5, Person3","chair3, desk5, person3",false,
259,Basic-259,basic,direct,Place that file by the desk.,"File2, Desk1",,,,,,"File2, Desk1","File2, Desk1","file2, desk1",false,
260,Basic-260,basic,indirect,Ask the assistant nearby to review that printer for paper and toner.,"Printer1, Person3",,,,,,"Printer1, Person3","Printer1, Person3","printer, person3",false,
261,Basic-261,basic,direct,Confirm that laptop for battery level.,Laptop1,,,,,,Laptop3,Laptop1,laptop1,true,
262,Basic-262,basic,direct,Tidy that file.,File3,,,,,,File3,File3,file3,false,
263,Basic-263,basic,direct,Reposition that file by the spot.,"File1, PointA",,,,,,"File1, PointA","File1, PointA","file1, pointA",false,
264,Basic-264,basic,direct,Tell that fellow to arrange that file.,"File4, Person3",,,,,,"File4, Person3","File4, Person3","file4, person3",false,
265,Basic-265,basic,direct,Move that laptop toward there.,"Laptop2, PointA",,,,,,"Laptop2, PointA","Laptop2, PointA","laptop2, pointA",false,
266,Basic-266,basic,direct,Confirm that printer for paper and toner.,Printer,,,,,,Printer1,Printer,printer,true,
267,Basic-267,basic,direct,Push that chair near there.,"Chair6, Desk7",,,,,,"Chair6, Desk7","Chair6, Desk7","chair6, desk7",false,
268,Basic-268,basic,direct,Move that chair by the desk.,"Chair7, Desk1",,,,,,"Chair7, Desk1","Chair7, Desk1","chair7, desk1",false,
269,Basic-269,basic,indirect,Request this colleague to carry that laptop over there.,"Laptop2, Desk1, Person3",,,,,,"Laptop2, Desk1, Person3","Laptop2, Desk1, Person3","laptop2, desk1, person3",false,
270,Basic-270,basic,indirect,Ask this colleague to push that file by the desk.,"File2, Desk6, Person1",,,,,,"File2, Desk6, Person1","File2, Desk6, Person1","file2, desk6, person1",false,
271,Basic-271,basic,indirect,Tell the person by the desk to check that desk for clutter.,"Desk8, Person3",,,,,,"Desk8, Person3","Desk8, Person3","desk8, person3",false,
272,Basic-272,basic,direct,Request the assistant nearby to tidy that chair carefully.,"Chair6, Person2",,,,,,"Chair6, Person2","Chair6, Person2","chair6, person2",false,
273,Basic-273,basic,direct,Move that chair close to the desk.,"Chair8, Desk7",,,,,,"Chair8, Desk7","Chair8, Desk7","chair8, desk7",false,
274,Basic-274,basic,direct,Push that file to there.,"File4, Desk8",,,,,,"File4, Desk8","File4, Desk8","file4, desk8",false,
275,Basic-275,basic,direct,Reposition that file close to the desk.,"File4, Desk6",,,,,,"File4, Desk6","File4, Desk6","file4, desk6",false,
276,Basic-276,basic,direct,Arrange that chair slightly.,Chair5,,,,,,Chair5,Chair5,chair5,false,
277,Basic-277,basic,indirect,Instruct that colleague to reposition that chair close to the desk.,"Chair5, Desk2, Person1",,,,,,"Chair5, Desk2, Person1","Chair5, Desk2, Person1","chair5, desk2, person1",false,
278,Basic-278,basic,direct,Tell that fellow to carry that file to there.,"File1, Desk8, Person1",,,,,,"File1, Desk8, Person1","File1, Desk8, Person1","file1, desk8, person1",false,
279,Basic-279,basic,direct,Request this colleague to move that file near the spot.,"File4, PointC, Person1",,,,,,"File4, PointC, Person1","File4, PointC, Person1","file4, pointC, person1",false,
280,Basic-280,basic,indirect,Tell that fellow to check that desk for clutter.,"Desk5, Person1",,,,,,"Desk5, Person1","Desk5, Person1","desk5, person1",false,
281,Basic-281,basic,direct,Carry that file next to the desk.,"File1, Desk4",,,,,,"File1, Desk4","File1, Desk4","file1, desk4",false,
282,Basic-282,basic,direct,Push that file over there.,"File4, Desk8",,,,,,"File4, Desk8","File4, Desk8","file4, desk8",false,
283,Basic-283,basic,direct,Instruct this colleague to arrange that chair gently.,"Chair1, Person2",,,,,,"Chair1, Person2","Chair1, Person2","chair1, person2",false,
284,Basic-284,basic,indirect,Request the person to slide that chair near the desk.,"Chair7, Desk3, Person1",,,,,,"Chair7, Desk3, Person1","Chair7, Desk3, Person1","chair7, desk3, person1",false,
285,Basic-285,basic,direct,Reposition that laptop by the desk.,"Laptop1, Desk6",,,,,,"Laptop1, Desk6","Laptop1, Desk6","laptop1, desk6",false,
286,Basic-286,basic,direct,Tell this colleague to adjust that laptop.,"Laptop2, Person1",,,,,,"Laptop2, Person1","Laptop2, Person1","laptop2, person1",false,
287,Basic-287,basic,direct,Adjust that chair.,Chair1,,,,,,Chair1,Chair1,chair1,false,
288,Basic-288,basic,direct,Tidy that chair.,Chair4,,,,,,Chair4,Chair4,chair4,false,
289,Basic-289,basic,direct,Tidy that chair slightly.,Chair3,,,,,,Chair3,Chair3,chair3,false,
290,Basic-290,basic,indirect,Request this colleague to carry that chair near the spot.,"Chair3, PointA, Person2",,,,,,"Chair3, PointA, Person2","Chair3, PointA, Person2","chair3, pointA, person2",false,
291,Basic-291,basic,indirect,Instruct the person by the desk to tidy that chair gently.,"Chair2, Person1",,,,,,"Chair2, Person1","Chair2, Person1","chair2, person1",false,
292,Basic-292,basic,direct,Request that fellow to arrange that drawer.,"Drawer1, Person1",,,,,,"Drawer1, Person1","Drawer1, Person1","Drawer1, person1",false,
293,Basic-293,basic,direct,Arrange that file.,File4,,,,,,File4,File4,file4,false,
294,Basic-294,basic,direct,Confirm that file for its label.,File3,,,,,,File3,File3,file3,false,
295,Basic-295,basic,direct,Inspect that desk for clutter.,Desk2,,,,,,Desk2,Desk2,desk2,false,
296,Basic-296,basic,direct,Move that file by the desk.,"File4, Desk1",,,,,,"File4, Desk1","File4, Desk1","file4, desk1",false,
297,Basic-297,basic,direct,Carry that chair toward there.,"Chair3, Desk6",,,,,,"Chair3, Desk6","Chair3, Desk6","chair3, desk6",false,
298,Basic-298,basic,direct,Secure that file.,File3,,,,,,File3,File3,file3,false,
299,Basic-299,basic,direct,Slide that chair near there.,"Chair4, Desk1",,,,,,"Chair4, Desk1","Chair4, Desk1","chair4, desk1",false,
300,Basic-300,basic,direct,Confirm that laptop for battery level.,Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
301,Basic-301,basic,indirect,Ask that colleague to slide that file next to the desk.,"File1, Desk3, Person3",,,,,,"File1, Desk3, Person3","File1, Desk3, Person3","file1, desk3, person3",false,
302,Basic-302,basic,direct,Tidy that chair.,Chair7,,,,,,Chair7,Chair7,chair7,false,
303,Basic-303,basic,indirect,Ask that fellow to move that file toward there.,"File4, Desk3, Person2",,,,,,"File4, Desk3, Person2","File4, Desk3, Person2","file4, desk3, person2",false,
304,Basic-304,basic,direct,Adjust that lamp.,Lamp2,,,,,,Lamp2,Lamp2,lamp2,false,
305,Basic-305,basic,direct,Reposition that chair by the printer.,"Chair3, Printer1",,,,,,"Chair3, Printer1","Chair3, Printer1","chair3, printer",false,
306,Basic-306,basic,indirect,Request this colleague to push that file over there.,"File3, Desk8, Person2",,,,,,"File3, Desk8, Person2","File3, Desk8, Person2","file3, desk8, person2",false,
307,Basic-307,basic,direct,Tidy that lamp.,Lamp2,,,,,,Lamp2,Lamp2,lamp2,false,
308,Basic-308,basic,indirect,Ask the assistant nearby to tidy that chair.,"Chair1, Person1",,,,,,"Chair1, Person1","Chair1, Person1","chair1, person1",false,
309,Basic-309,basic,indirect,Instruct the person to place that chair in front of the desk.,"Chair4, PointB, Person2",,,,,,"Chair4, PointB, Person2","Chair4, PointB, Person2","chair4, pointB, person2",false,
310,Basic-310,basic,direct,Adjust that chair.,Chair3,,,,,,Chair3,Chair3,chair3,false,
311,Basic-311,basic,direct,Check that file for its label.,File3,,,,,,File3,File3,file3,false,
312,Basic-312,basic,direct,Reposition that chair in front of the desk.,"Chair7, Desk5",,,,,,"Chair7, Desk5","Chair7, Desk5","chair7, desk5",false,
313,Basic-313,basic,indirect,Instruct that fellow to carry that chair to  in front of the door.,"Chair5, Door1, Person1",,,,,,"Chair5, Door1, Person1","Chair5, Door1, Person1","chair5, door1, person1",false,
314,Basic-314,basic,indirect,Instruct the assistant nearby to carry that file near there.,"File1, Desk2, Person2",,,,,,"File1, Desk2, Person2","File1, Desk2, Person2","file1, desk2, person2",false,
315,Basic-315,basic,direct,Push that laptop near there.,"Laptop2, Printer1",,,,,,"Laptop2, Printer1","Laptop2, Printer1","laptop2, printer",false,
316,Basic-316,basic,direct,Check that door for scratches.,Door1,,,,,,Door1,Door1,door1,false,
317,Basic-317,basic,indirect,Request that colleague to slide that file close to the desk.,"File1, Desk8, Person1",,,,,,"File1, Desk8, Person1","File1, Desk8, Person1","file1, desk8, person1",false,
318,Basic-318,basic,direct,Tidy that lamp.,Lamp2,,,,,,Lamp2,Lamp2,lamp2,false,
319,Basic-319,basic,indirect,Tell the assistant nearby to reposition that file to there.,"File1, Desk2, Person3",,,,,,"File1, Desk2, Person3","File1, Desk2, Person3","file1, desk2, person3",false,
320,Basic-320,basic,direct,Check that lamp for brightness.,Lamp3,,,,,,Lamp3,Lamp3,lamp3,false,
321,Basic-321,basic,indirect,Instruct the assistant nearby to slide that laptop in front of the spot.,"Laptop1, PointC, Person1",,,,,,"Laptop1, PointC, Person1","Laptop1, PointC, Person1","laptop1, pointC, person1",false,
322,Basic-322,basic,direct,Arrange that lamp.,Lamp2,,,,,,Lamp2,Lamp2,lamp2,false,
323,Basic-323,basic,indirect,Instruct that colleague to slide that chair by the desk.,"Chair4, Desk4, Person3",,,,,,"Chair4, Desk4, Person3","Chair4, Desk4, Person3","chair4, desk4, person3",false,
324,Basic-324,basic,indirect,Instruct that colleague to tidy that laptop slightly.,"Laptop2, Person2",,,,,,"Laptop2, Person2","Laptop2, Person2","laptop2, person2",false,
325,Basic-325,basic,direct,Confirm that laptop for battery level.,Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
326,Basic-326,basic,direct,Verify that desk for clutter.,Desk3,,,,,,Desk3,Desk3,desk3,false,
327,Basic-327,basic,direct,Arrange that lamp.,Lamp1,,,,,,Lamp1,Lamp1,lamp1,false,
328,Basic-328,basic,direct,Adjust that chair.,Chair1,,,,,,Chair1,Chair1,chair1,false,
329,Basic-329,basic,indirect,Instruct that fellow to tidy that chair slightly.,"Chair5, Person1",,,,,,"Chair5, Person1","Chair5, Person1","chair5, person1",false,
330,Basic-330,basic,direct,Inspect that computer for display issues.,PC4,,,,,,PC4,PC4,PC4,false,
331,Basic-331,basic,direct,Carry that chair toward there.,"Chair5, Desk2",,,,,,"Chair5, Desk2","Chair5, Desk2","chair5, desk2",false,
332,Basic-332,basic,direct,Request the assistant nearby to push that file near there.,"File5, Desk8, Person3",,,,,,"File5, Desk8, Person3","File5, Desk8, Person3","file5, desk8, person3",false,
333,Basic-333,basic,direct,Confirm that computer for display issues.,PC6,,,,,,PC6,PC6,PC6,false,
334,Basic-334,basic,direct,Carry that chair near there.,"Chair6, PointA",,,,,,"Chair6, PointA","Chair6, PointA","chair6, pointA",false,
335,Basic-335,basic,direct,Confirm that lamp for brightness.,Lamp3,,,,,,Lamp3,Lamp3,lamp3,false,
336,Basic-336,basic,direct,Review that printer for paper and toner.,Printer,,,,,,Printer1,Printer,printer,true,
337,Basic-337,basic,direct,Adjust that chair.,Chair8,,,,,,Chair8,Chair8,chair8,false,
338,Basic-338,basic,direct,Place that chair in front of the spot.,"Chair3, PointC",,,,,,"Chair3, PointC","Chair3, PointC","chair3, pointC",false,
339,Basic-339,basic,indirect,Request the assistant nearby to tidy that chair.,"Chair7, Person3",,,,,,"Chair7, Person3","Chair7, Person3","chair7, person3",false,
340,Basic-340,basic,direct,Move that chair over there.,"Chair4, PointA",,,,,,"Chair4, PointA","Chair4, PointA","chair4, pointA",false,
341,Basic-341,basic,indirect,Request that fellow to place that chair near there.,"Chair7, Printer1, Person3",,,,,,"Chair7, Printer1, Person3","Chair7, Printer1, Person3","chair7, printer, person3",false,
342,Basic-342,basic,indirect,Instruct that colleague to slide that chair close to the desk.,"Chair5, Desk4, Person1",,,,,,"Chair5, Desk4, Person1","Chair5, Desk4, Person1","chair5, desk4, person1",false,
343,Basic-343,basic,direct,Move that chair by the desk.,"Chair6, Desk6",,,,,,"Chair6, Desk6","Chair6, Desk6","chair6, desk6",false,
344,Basic-344,basic,indirect,Instruct that colleague to confirm that lamp for brightness.,"Lamp1, Person2",,,,,,"Lamp1, Person2","Lamp1, Person2","lamp1, person2",false,
345,Basic-345,basic,direct,Push that laptop toward there.,"Laptop1, PointA",,,,,,"Laptop1, PointA","Laptop1, PointA","laptop1, pointA",false,
346,Basic-346,basic,direct,Tidy that file.,File4,,,,,,File4,File4,file4,false,
347,Basic-347,basic,indirect,Ask the person by the desk to place that file close to the desk.,"File2, Desk3, Person2",,,,,,"File2, Desk3, Person2","File2, Desk3, Person2","file2, desk3, person2",false,
348,Basic-348,basic,indirect,Tell the assistant nearby to slide that laptop toward there.,"Laptop1, Desk5, Person2",,,,,,"Laptop1, Desk5, Person2","Laptop1, Desk5, Person2","laptop1, desk5, person2",false,
349,Basic-349,basic,direct,Slide that chair  toward there.,"Chair7, PointA",,,,,,"Chair7, PointA","Chair7, PointA","chair7, pointA",false,
350,Basic-350,basic,direct,Reposition that chair next to the door.,"Chair4, Door1",,,,,,"Chair4, Door1","Chair4, Door1","chair4, door1",false,
351,Basic-351,basic,indirect,Tell that colleague to reposition that chair by the desk.,"Chair4, Desk4, Person2",,,,,,"Chair4, Desk4, Person2","Chair4, Desk4, Person2","chair4, desk4, person2",false,
352,Basic-352,basic,indirect,Request the person by the desk to check that computer for display issues.,"PC5, Person2",,,,,,"PC5, Person2","PC5, Person2","PC5, person2",false,
353,Basic-353,basic,direct,Ask the person by the desk to tidy that chair.,"Chair1, Person2",,,,,,"Chair1, Person2","Chair1, Person2","chair1, person2",false,
354,Basic-354,basic,direct,Carry that file next to the desk.,"File5, Desk4",,,,,,"File5, Desk4","File5, Desk4","file5, desk4",false,
355,Basic-355,basic,direct,Move that file close to the desk.,"File5, Desk1",,,,,,"File5, Desk1","File5, Desk1","file5, desk1",false,
356,Basic-356,basic,direct,Push that laptop near the desk.,"Laptop2, Desk4",,,,,,"Laptop2, Desk4","Laptop2, Desk4","laptop2, desk4",false,
357,Basic-357,basic,indirect,Request the assistant nearby to confirm that computer for display issues.,"PC1, Person2",,,,,,"PC1, Person2","PC1, Person2","PC1, person2",false,
358,Basic-358,basic,indirect,Ask the person by the door to adjust that chair.,"Chair7, Person3",,,,,,"Chair7, Person3","Chair7, Person3","chair7, person3",false,
359,Basic-359,basic,indirect,Request that colleague to move that chair toward there.,"Chair2, Desk2, Person1",,,,,,"Chair2, Desk2, Person1","Chair2, Desk2, Person1","chair2, desk2, person1",false,
360,Basic-360,basic,direct,Carry that chair over there.,"Chair3, Desk1",,,,,,"Chair3, Desk1","Chair3, Desk1","chair3, desk1",false,
361,Basic-361,basic,indirect,Tell that fellow to adjust that laptop.,"Laptop1, Person1",,,,,,"Laptop1, Person1","Laptop1, Person1","laptop1, person1",false,
362,Basic-362,basic,direct,Slide that laptop in front of the printer.,"Laptop1, Printer",,,,,,"Laptop3, Printer1","Laptop1, Printer","laptop1, printer",true,
363,Basic-363,basic,direct,Tell this colleague to reposition that chair over there.,"Chair7, Desk5, Person1",,,,,,"Chair7, Desk5, Person1","Chair7, Desk5, Person1","chair7, desk5, person1",false,
364,Basic-364,basic,direct,Confirm this laptop for battery level.,Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
365,Basic-365,basic,direct,Reposition that chair to there.,"Chair1, Desk3",,,,,,"Chair1, Desk3","Chair1, Desk3","chair1, desk3",false,
366,Basic-366,basic,direct,Check that laptop for battery level.,Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
367,Basic-367,basic,indirect,Request this colleague to arrange that lamp.,"Lamp1, Person2",,,,,,"Lamp1, Person2","Lamp1, Person2","lamp1, person2",false,
368,Basic-368,basic,direct,Adjust that lamp.,Lamp3,,,,,,Lamp3,Lamp3,lamp3,false,
369,Basic-369,basic,direct,Reposition that file over there.,"File2, Desk3",,,,,,"File2, Desk3","File2, Desk3","file2, desk3",false,
370,Basic-370,basic,indirect,Ask that colleague to carry that laptop next to the printer.,"Laptop2, Printer1, Person3",,,,,,"Laptop2, Printer1, Person3","Laptop2, Printer1, Person3","laptop2, printer, person3",false,
371,Basic-371,basic,direct,Move that chair near the desk.,"Chair3, Desk7",,,,,,"Chair3, Desk7","Chair3, Desk7","chair3, desk7",false,
372,Basic-372,basic,direct,Tell this colleague to inspect that lamp for brightness.,"Lamp2, Person2",,,,,,"Lamp2, Person2","Lamp2, Person2","lamp2, person2",false,
373,Basic-373,basic,direct,Inspect that computer for display issues.,PC2,,,,,,PC2,PC2,PC2,false,
374,Basic-374,basic,direct,Verify that laptop for battery level.,Laptop2,,,,,,Laptop2,Laptop2,laptop2,false,
375,Basic-375,basic,direct,Inspect that laptop for battery level.,Laptop1,,,,,,Laptop3,Laptop1,laptop1,true,
376,Basic-376,basic,indirect,Instruct that fellow to move that chair to there.,"Chair4, Desk4, Person2",,,,,,"Chair4, Desk4, Person2","Chair4, Desk4, Person2","chair4, desk4, person2",false,
377,Basic-377,basic,direct,Move that file by the spot.,"File4, PointC",,,,,,"File4, PointC","File4, PointC","file4, pointC",false,
378,Basic-378,basic,direct,Place that chair close to the desk.,"Chair3, Desk5",,,,,,"Chair3, Desk5","Chair3, Desk5","chair3, desk5",false,
379,Basic-379,basic,direct,Reposition that chair near there.,"Chair4, Desk5",,,,,,"Chair4, Desk5","Chair4, Desk5","chair4, desk5",false,
380,Basic-380,basic,direct,Check that desk for clutter.,Desk2,,,,,,Desk2,Desk2,desk2,false,
381,Basic-381,basic,direct,Tell that colleague to move that file over there.,"File2, Printer1, Person1",,,,,,"File2, Printer1, Person1","File2, Printer1, Person1","file2, printer, person1",false,
382,Basic-382,basic,direct,Check that computer for display issues.,PC1,,,,,,PC1,PC1,PC1,false,
383,Basic-383,basic,direct,Confirm that desk for clutter.,Desk3,,,,,,Desk3,Desk3,desk3,false,
384,Basic-384,basic,direct,Arrange that file gently.,File1,,,,,,File1,File1,file1,false,
385,Basic-385,basic,direct,Review that desk for clutter.,Desk5,,,,,,Desk5,Desk5,desk5,false,
386,Basic-386,basic,direct,Carry that laptop near there.,"Laptop2, Desk2",,,,,,"Laptop2, Desk2","Laptop2, Desk2","laptop2, desk2",false,
387,Basic-387,basic,direct,Arrange that laptop.,Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
388,Basic-388,basic,indirect,Instruct this colleague to adjust that chair.,"Chair5, Person2",,,,,,"Chair5, Person2","Chair5, Person2","chair5, person2",false,
